Username,CJ,Points
#7403,Club Jeunes de Puech de Barret - Le Garric,951
#1974,Club Jeunes de Vaux-le-Pénil,934
#0084,Club Jeunes de Châteaubourg,930
#9861,Club Jeunes de Puech de Barret - Le Garric,847
#7963,Club Jeunes de Cluses,831
#7445,Club Jeunes d'Yvré-l'Evêque,798
#4741,Club Jeunes de Luynes,700
#7758,Club Jeunes de Châteaubourg,0
#4290,Club Jeunes de Luynes,0
#3516,Club Jeunes de Saint Pierre du Mont,0
#1871,Club Jeunes de Bordeaux,0
#1221,Club Jeunes de Chameyrat,0
#0749,Club Jeunes de Laon,0
