Username,CJ,Points
#1284,Club Jeunes de Saint Pierre du Mont,913
#7403,Club Jeunes de Puech de Barret - Le Garric,906
#8914,Club Jeunes de Cholet,880
#5676,Club Jeunes de Chamarande,875
#6617,Club Jeunes de Pornic,870
#9861,Club Jeunes de Puech de Barret - Le Garric,847
#8476,Club Jeunes de Vaux-le-Pénil,833
#1398,Club Jeunes de Briançon,826
#8969,Club Jeunes de la Roche-sur-Yon,817
#0489,Club Jeunes d'Yvré-l'Evêque,769
#4290,Club Jeunes de Luynes,679
#1974,Club Jeunes de Vaux-le-Pénil,0
#1221,Club Jeunes de Chameyrat,0
