Username,CJ,Points
#1974,Club Jeunes de Vaux-le-Pénil,774
#9861,Club Jeunes de Puech de Barret - Le Garric,0
#8969,Club Jeunes de la Roche-sur-Yon,0
#8914,Club Jeunes de Cholet,0
#8476,Club Jeunes de Vaux-le-Pénil,0
#7403,Club Jeunes de Puech de Barret - Le Garric,0
#6617,Club Jeunes de Pornic,0
#5676,Club Jeunes de Chamarande,0
#4290,Club Jeunes de Luynes,0
#1398,Club Jeunes de Briançon,0
#1284,Club Jeunes de Saint Pierre du Mont,0
#1221,Club Jeunes de Chameyrat,0
#0489,Club Jeunes d'Yvré-l'Evêque,0
