Username,CJ,Points
#0489,Club Jeunes d'Yvré-l'Evêque,890
#9861,Club Jeunes de Puech de Barret - Le Garric,889
#6617,Club Jeunes de Pornic,889
#1284,Club Jeunes de Saint Pierre du Mont,877
#8969,Club Jeunes de la Roche-sur-Yon,865
#7403,Club Jeunes de Puech de Barret - Le Garric,837
#1398,Club Jeunes de Briançon,801
#8476,Club Jeunes de Vaux-le-Pénil,692
#8914,Club Jeunes de Cholet,0
#5676,Club Jeunes de Chamarande,0
#4290,Club Jeunes de Luynes,0
#1974,Club Jeunes de Vaux-le-Pénil,0
#1221,Club Jeunes de Chameyrat,0
