Username,CJ,Points
#8914,Club Jeunes de Cholet,945
#7403,Club Jeunes de Puech de Barret - Le Garric,942
#1398,Club Jeunes de Briançon,937
#8969,Club Jeunes de la Roche-sur-Yon,934
#5676,Club Jeunes de Chamarande,927
#1284,Club Jeunes de Saint Pierre du Mont,914
#0489,Club Jeunes d'Yvré-l'Evêque,909
#6617,Club Jeunes de Pornic,907
#9861,Club Jeunes de Puech de Barret - Le Garric,906
#1221,Club Jeunes de Chameyrat,806
#1974,Club Jeunes de Vaux-le-Pénil,766
#8476,Club Jeunes de Vaux-le-Pénil,0
#4290,Club Jeunes de Luynes,0
