Username,CJ,Points
#5676,Club Jeunes de Chamarande,867
#7403,Club Jeunes de Puech de Barret - Le Garric,864
#0489,Club Jeunes d'Yvré-l'Evêque,833
#8969,Club Jeunes de la Roche-sur-Yon,831
#8914,Club Jeunes de Cholet,826
#9861,Club Jeunes de Puech de Barret - Le Garric,807
#1398,Club Jeunes de Briançon,805
#6617,Club Jeunes de Pornic,799
#1974,Club Jeunes de Vaux-le-Pénil,787
#1221,Club Jeunes de Chameyrat,769
#8476,Club Jeunes de Vaux-le-Pénil,749
#1284,Club Jeunes de Saint Pierre du Mont,747
#4290,Club Jeunes de Luynes,0
