Username,CJ,Points
#7403,Club Jeunes de Puech de Barret - Le Garric,941
#1284,Club Jeunes de Saint Pierre du Mont,929
#8914,Club Jeunes de Cholet,916
#9861,Club Jeunes de Puech de Barret - Le Garric,909
#4290,Club Jeunes de Luynes,905
#8476,Club Jeunes de Vaux-le-Pénil,900
#5676,Club Jeunes de Chamarande,900
#0489,Club Jeunes d'Yvré-l'Evêque,894
#1398,Club Jeunes de Briançon,881
#6617,Club Jeunes de Pornic,875
#8969,Club Jeunes de la Roche-sur-Yon,784
#1974,Club Jeunes de Vaux-le-Pénil,0
#1221,Club Jeunes de Chameyrat,0
