Username,CJ,Points
#0489,Club Jeunes d'Yvré-l'Evêque,924
#8914,Club Jeunes de Cholet,896
#5676,Club Jeunes de Chamarande,889
#7403,Club Jeunes de Puech de Barret - Le Garric,874
#6617,Club Jeunes de Pornic,864
#8476,Club Jeunes de Vaux-le-Pénil,826
#1398,Club Jeunes de Briançon,810
#8969,Club Jeunes de la Roche-sur-Yon,793
#9861,Club Jeunes de Puech de Barret - Le Garric,788
#1284,Club Jeunes de Saint Pierre du Mont,761
#4290,Club Jeunes de Luynes,0
#1974,Club Jeunes de Vaux-le-Pénil,0
#1221,Club Jeunes de Chameyrat,0
