Username,CJ,Points
#8914,Club Jeunes de Cholet,931
#5676,Club Jeunes de Chamarande,909
#7403,Club Jeunes de Puech de Barret - Le Garric,904
#8969,Club Jeunes de la Roche-sur-Yon,875
#9861,Club Jeunes de Puech de Barret - Le Garric,851
#1398,Club Jeunes de Briançon,799
#8476,Club Jeunes de Vaux-le-Pénil,754
#6617,Club Jeunes de Pornic,0
#4290,Club Jeunes de Luynes,0
#1974,Club Jeunes de Vaux-le-Pénil,0
#1284,Club Jeunes de Saint Pierre du Mont,0
#1221,Club Jeunes de Chameyrat,0
#0489,Club Jeunes d'Yvré-l'Evêque,0
