Username,CJ,Points
#7403,Club Jeunes de Puech de Barret - Le Garric,859
#5676,Club Jeunes de Chamarande,830
#8914,Club Jeunes de Cholet,829
#1284,Club Jeunes de Saint Pierre du Mont,815
#6617,Club Jeunes de Pornic,777
#0489,Club Jeunes d'Yvré-l'Evêque,725
#4290,Club Jeunes de Luynes,712
#9861,Club Jeunes de Puech de Barret - Le Garric,705
#8969,Club Jeunes de la Roche-sur-Yon,0
#8476,Club Jeunes de Vaux-le-Pénil,0
#1974,Club Jeunes de Vaux-le-Pénil,0
#1398,Club Jeunes de Briançon,0
#1221,Club Jeunes de Chameyrat,0
