Username,CJ,Points
#1284,Club Jeunes de Saint Pierre du Mont,899
#0489,Club Jeunes d'Yvré-l'Evêque,846
#6617,Club Jeunes de Pornic,844
#9861,Club Jeunes de Puech de Barret - Le Garric,822
#8969,Club Jeunes de la Roche-sur-Yon,820
#7403,Club Jeunes de Puech de Barret - Le Garric,811
#5676,Club Jeunes de Chamarande,809
#8914,Club Jeunes de Cholet,760
#8476,Club Jeunes de Vaux-le-Pénil,535
#4290,Club Jeunes de Luynes,0
#1974,Club Jeunes de Vaux-le-Pénil,0
#1398,Club Jeunes de Briançon,0
#1221,Club Jeunes de Chameyrat,0
