Username,CJ,Points
#8914,Club Jeunes de Cholet,915
#5676,Club Jeunes de Chamarande,874
#6617,Club Jeunes de Pornic,870
#7403,Club Jeunes de Puech de Barret - Le Garric,855
#9861,Club Jeunes de Puech de Barret - Le Garric,825
#4290,Club Jeunes de Luynes,823
#8969,Club Jeunes de la Roche-sur-Yon,813
#0489,Club Jeunes d'Yvré-l'Evêque,777
#1398,Club Jeunes de Briançon,774
#1284,Club Jeunes de Saint Pierre du Mont,690
#8476,Club Jeunes de Vaux-le-Pénil,636
#1974,Club Jeunes de Vaux-le-Pénil,0
#1221,Club Jeunes de Chameyrat,0
